Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	Reduncini	Aepyceros	shungurae	Aepyceros	Aepyceros melampus	0	ArtiodactylaBovidaeRedunciniAepycerosshungurae	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	ancystrocera	Kobus	Kobus kob	0	ArtiodactylaBovidaeRedunciniKobusancystrocera	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	ellipsiprymnus	Kobus	Kobus kob	0	ArtiodactylaBovidaeRedunciniKobusellipsiprymnus	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	kob	Kobus	Kobus kob	1	ArtiodactylaBovidaeRedunciniKobuskob	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	laticornis	Kobus	Kobus kob	0	ArtiodactylaBovidaeRedunciniKobuslaticornis	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	leche	Kobus	Kobus leche	1	ArtiodactylaBovidaeRedunciniKobusleche	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	lothagamensis	Kobus	Kobus kob	0	ArtiodactylaBovidaeRedunciniKobuslothagamensis	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	Kobus	Kobus kob	0	ArtiodactylaBovidaeRedunciniKobusoricornus	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	presigmoidalis	Kobus	Kobus ellipsiprymnus	0	ArtiodactylaBovidaeRedunciniKobuspresigmoidalis	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	sigmoidalis	Kobus	Kobus ellipsiprymnus	0	ArtiodactylaBovidaeRedunciniKobussigmoidalis	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	sigmoidalis/ellipsiprymnus	Kobus	NA	NA	ArtiodactylaBovidaeRedunciniKobussigmoidalis/ellipsiprymnus	3	2	1	0	1	1	0	1
