ComLoc	Member	MidMemberAge	noFossils	noGenus	EastWest	Formation	meanHYP	meanHOR	meanAL	meanOL	meanSF	meanOT	meanCM	temp_high	pred_npp_ecom	pred_npp_ecomI	pred_npp_base_ecom	meanLOP	pred_habitat	pred_taxa
EG >< EG	NA	3	144	22	2	NA	2.238	1.409	0.091	0.682	0.227	0.364	0.318	24.1405	980.932969279718	1550.733	1145.469	0.955	1191.05882352941	586.582691875079
KFIIB >< KBS	KBS	1.7	6	4	1	Koobi Fora	1.75	1	0.25	1	0.25	0.25	0.25	13.325	1846.79186773639	2049.25	1633.5	1.25	1102.25	473.83870200931
KFIII >< KBS	KBS	1.7	11	6	1	Koobi Fora	2.333	1	0	1	0.333	0.5	0.5	11.8893	981.882608815571	2077.542	777.5	1.333	1090.75	486.955070807817
KG >< Kalochoro	Kalochoro	2.1	13	7	2	Nachukui	3	1.571	0	0.857	0.143	0.571	0.714	27.7504	0	782.298	688.537	1.429	1151	892.783528434087
KG1 >< Kalochoro	Kalochoro	2.1	21	12	2	Nachukui	2.833	1.333	0	0.917	0.25	0.417	0.583	19.2431	0	1018.938	881.499	1.5	1214.27272727273	1017.04249724771
KK >< Kalochoro	Kalochoro	2.1	35	13	2	Nachukui	2.692	1.538	0	0.769	0.231	0.462	0.538	23.5968	69.7088988515163	1210.333	825.114	1.231	1145.36363636364	845.45162226018
KL1 >< Natoo	Natoo	1.39	74	16	2	Nachukui	2.438	1.188	0	0.938	0.312	0.438	0.438	14.5986	847.852190036507	1754.959	855.186	1.625	1204.25	945.105551607822
KL2 >< Natoo	Natoo	1.39	10	6	2	Nachukui	2.667	1.5	0	0.833	0.333	0.5	0.5	15.3462	173.740443660273	1652.694	777.5	1.667	1169.33333333333	1071.32206877403
KL3 >< Kaitio	Kaitio	1.68	15	10	2	Nachukui	2.5	1.3	0	0.8	0.3	0.6	0.4	18.27	563.082773675224	1920.1	652.2	1.2	1214.6	1065.59492416891
KL4 >< Lokalalei	Lokalalei	2.43	6	4	2	Nachukui	2.75	1.75	0	0.5	0.25	1	1	27.875	0	2316.25	151	1	1336.25	1000.9564769342
KL6 >< Kaitio	Kaitio	1.68	25	13	2	Nachukui	2.538	1.385	0	0.846	0.231	0.615	0.462	22.0029	479.929234444966	1695.694	633.405	1.231	1222.90909090909	847.11412280005
KS1 >< Kaitio	Kaitio	1.68	36	13	2	Nachukui	2.385	1.385	0	0.692	0.385	0.538	0.462	14.7341	706.230640642232	2217.586	729.886	0.923	1353.90909090909	897.385686494673
KU1 >< Upper Lomekwi	Upper Lomekwi	2.57	23	12	2	Nachukui	2.333	1.583	0.083	0.667	0.333	0.333	0.417	17.388	759.093402340705	1711.795	1166.944	0.833	1223.88888888889	653.498746422572
KU2 >< Upper Lomekwi	Upper Lomekwi	2.57	51	16	2	Nachukui	2.438	1.438	0.062	0.688	0.312	0.438	0.5	18.732	633.367932589906	1735.36	989.788	1	1257.85714285714	1001.3921275035
KU3 >< Upper Lomekwi	Upper Lomekwi	2.57	7	5	2	Nachukui	3	1.8	0	0.8	0.2	0.4	0.6	25.06	0	595.8	902.8	1.2	1225.6	615.962549445779
